,Symbol,last_check_time,last_price,dividend_Ex_Date,dividend_yield_Rate,record_Date,announcement_Date,indicated_Annual_Dividend,industry,payment_Date,dividend
211,CLDT,20231227223555,$11.00,12/28/2023,2.55%,,12/06/2023,0.28,Real Estate Investment Trusts,,
212,COLD,20231227223558,$30.26,12/28/2023,2.9%,,12/12/2023,0.88,Real Estate Investment Trusts,,
213,TCN,20231227223600,$9.23,12/28/2023,2.49%,,11/07/2023,0.232,N/A,,
214,ACP,20231227223601,$6.89,12/28/2023,17.37%,,12/11/2023,1.2,Investment Managers,,
215,BGX,20231227223603,$11.55,12/28/2023,10.68%,,12/11/2023,1.236,"Trusts, Except Educational, Religious, and Charitable",,
216,IHD,20231227223604,$5.17,12/28/2023,10.36%,,12/18/2023,0.54,Investment Managers,,
217,MITT,20231227223605,$6.43,12/28/2023,3.1%,,12/15/2023,0.2,Real Estate Investment Trusts,,
218,RLJ,20231227223607,$12.02,12/28/2023,3.34%,,12/15/2023,0.4,Real Estate Investment Trusts,,
219,ORC,20231227223608,$8.77,12/28/2023,16.36%,,12/12/2023,1.44,Real Estate Investment Trusts,,
220,ACRE,20231227223610,$11.17,12/28/2023,11.82%,,11/03/2023,1.32,Real Estate Investment Trusts,,
221,BGB,20231227223611,$11.40,12/28/2023,9.9%,,12/11/2023,1.128,"Trusts, Except Educational, Religious, and Charitable",,
222,NSS,20231227223613,$27.22,12/28/2023,11.42%,,N/A,3.1662,Natural Gas Distribution,,
223,RC,20231227223614,$11.08,12/28/2023,13.1%,,12/14/2023,1.2,Real Estate Investment Trusts,,
224,LFT,20231227223615,$2.365,12/28/2023,11.52%,,12/12/2023,0.28,Real Estate Investment Trusts,,
225,FPF,20231227223617,$16.35,12/28/2023,9.98%,,12/18/2023,1.65,"Trusts, Except Educational, Religious, and Charitable",,
226,EARN,20231227223618,$6.37,12/28/2023,15%,,12/07/2023,0.96,Real Estate Investment Trusts,,
227,REXR,20231227223620,$56.69,12/28/2023,2.67%,,10/16/2023,1.52,Real Estate Investment Trusts,,
228,IRT,20231227223621,$15.50,12/28/2023,4.11%,,12/11/2023,0.64,Real Estate Investment Trusts,,
229,CHMI,20231227223623,$4.33,12/28/2023,13.7%,,12/08/2023,0.6,Real Estate Investment Trusts,,
230,BHR,20231227223624,$2.67,12/28/2023,7.63%,,10/10/2023,0.2,Real Estate Investment Trusts,,
231,ATHM,20231227223626,$27.61,12/28/2023,2.07%,,12/14/2023,1.15,EDP Services,,
232,TGLS,20231227223627,$45.48,12/28/2023,0.78%,,12/11/2023,0.36,Electronic Components,,
233,AOD,20231227223629,$8.10,12/28/2023,8.5%,,12/11/2023,0.69,Investment Managers,,
234,AGD,20231227223630,$9.48,12/28/2023,8.29%,,12/11/2023,0.78,"Trusts, Except Educational, Religious, and Charitable",,
235,BRW,20231227223632,$7.89,12/28/2023,12.9%,,12/22/2023,1.02,"Trusts, Except Educational, Religious, and Charitable",,
236,BRW,20231227223633,$7.89,12/28/2023,12.9%,,12/22/2023,1.02,"Trusts, Except Educational, Religious, and Charitable",,
237,CTRE,20231227223634,$22.70,12/28/2023,4.91%,,12/18/2023,1.12,Real Estate Investment Trusts,,
238,DBRG,20231227223636,$17.21,12/28/2023,0.23%,,10/27/2023,0.04,Real Estate Investment Trusts,,
239,THQ,20231227223637,$18.21,12/28/2023,7.39%,,12/11/2023,1.35,Finance Companies,,
240,RITM,20231227223638,$11.11,12/28/2023,9.03%,,12/12/2023,1.0,Real Estate Investment Trusts,,
241,PGRE,20231227223640,$5.35,12/28/2023,2.66%,,12/15/2023,0.14,Real Estate Investment Trusts,,
242,XHR,20231227223641,$13.87,12/28/2023,2.88%,,11/17/2023,0.4,Hotels/Resorts,,
243,CIM,20231227223643,$5.32,12/28/2023,13.64%,,11/02/2023,0.44,Real Estate Investment Trusts,,
244,GSBD,20231227223645,$15.38,12/28/2023,11.66%,,11/07/2023,1.8,Investment Managers,,
245,APLE,20231227223646,$16.99,12/28/2023,5.64%,,12/19/2023,0.96,Real Estate Investment Trusts,,
246,APLE,20231227223647,$16.99,12/28/2023,5.64%,,12/19/2023,0.96,Real Estate Investment Trusts,,
247,THW,20231227223649,$12.08,12/28/2023,11.59%,,12/11/2023,1.4004,Finance Companies,,
248,EQBK,20231227223650,$34.69,12/28/2023,1.39%,,12/13/2023,0.48,Major Banks,,
249,FCPT,20231227223652,$25.61,12/28/2023,5.29%,,11/10/2023,1.38,Real Estate Investment Trusts,,
250,ENO,20231227223653,$23.27,12/28/2023,5.88%,,N/A,1.375,Power Generation,,
